,Endothelial cell,Smooth muscle cell
AC004160.4,0.0026624068157614484,0.0
AC004221.2,0.0,0.0
AC004231.2,0.0,0.0
AC004237.1,0.0,0.0
AC004257.1,0.0026624068157614484,0.03635041802980734
AC004257.3,0.0,0.0
AC004381.6,0.14110756123535675,0.2544529262086514
AC004381.7,0.0026624068157614484,0.0
AC004447.2,0.0,0.0
AC004448.2,0.0,0.03635041802980734
AC004448.5,0.0,0.0
AC004449.6,0.0,0.0
AC004453.8,0.045260915867944625,0.2908033442384587
AC004463.6,0.0,0.0
AC004466.1,0.0,0.0
AC004471.10,0.0,0.0
AC004471.9,0.0,0.0
AC004485.3,0.0,0.0
AC004490.1,0.010649627263045794,0.0
AC004510.3,0.0,0.0
AC004538.3,0.0026624068157614484,0.0
AC004540.4,0.5617678381256656,0.2544529262086514
AC004540.5,0.34345047923322686,0.3635041802980734
AC004549.6,0.0026624068157614484,0.03635041802980734
AC004556.1,0.12247071352502663,0.2908033442384587
AC004593.3,0.0,0.0
AC004603.4,0.0,0.0
AC004623.2,0.0,0.0
AC004637.1,0.0,0.0
AC004691.5,0.0,0.0
AC004692.4,0.0,0.0
AC004702.2,0.0,0.0
AC004754.3,0.007987220447284345,0.07270083605961468
AC004775.5,0.0,0.0
AC004791.2,0.013312034078807242,0.10905125408942203
AC004813.1,0.0,0.0
AC004824.2,0.0026624068157614484,0.0
AC004837.5,0.0,0.0
AC004840.9,0.0026624068157614484,0.0
AC004854.4,0.005324813631522897,0.10905125408942203
AC004862.6,0.03727369542066028,0.0
AC004870.3,0.0,0.0
AC004878.2,0.007987220447284345,0.03635041802980734
AC004878.8,0.0,0.0
AC004893.11,0.0878594249201278,0.07270083605961468
AC004895.4,0.005324813631522897,0.0
AC004901.1,0.0,0.0
AC004906.3,0.0,0.0
AC004920.3,0.0,0.0
AC004941.3,0.0026624068157614484,0.0
AC004947.2,0.15708200212992546,0.0
AC004951.6,0.9238551650692226,1.7811704834605597
AC004988.1,0.0026624068157614484,0.03635041802980734
AC005009.1,0.0026624068157614484,0.0
AC005009.2,0.010649627263045794,0.0
AC005013.5,0.005324813631522897,0.0
AC005019.3,0.0,0.0
AC005037.3,0.010649627263045794,0.0
AC005042.4,0.007987220447284345,0.0
AC005076.5,0.14909478168264112,0.5089058524173028
AC005082.12,0.026624068157614485,0.07270083605961468
AC005104.3,0.0,0.0
AC005150.1,0.0,0.0
AC005152.3,0.0,0.0
AC005154.6,0.010649627263045794,0.0
AC005162.5,0.0,0.0
AC005197.2,0.0,0.0
AC005220.3,0.0,0.0
