,surfaceome_genes
1458,KCNS3
1459,CLSTN3
1460,UPK3B
1461,LRFN3
1462,SLC12A9
1463,SLC29A3
1464,RTN4R
1465,NPFFR1
1466,SLC5A7
1467,SLITRK2
1468,ABCG8
1469,ABCG5
1470,CLSTN2
1471,SLC32A1
1472,SLITRK6
1473,VSIR
1474,ADGRL3
1475,LPAR2
1476,LRRC4C
1477,NRXN3
1478,TREM1
1479,DUOX1
1480,KCNIP2
1481,SLC6A13
1482,TENM2
1483,LRRC4B
1484,ATP8A2
1485,TMEM30A
1486,CELSR3
1487,PSENEN
1488,NLGN3
1489,KCNIP1
1490,IL1RAPL1
1491,FLRT3
1492,FLRT1
1493,KCND2
1494,PKD2L1
1495,TENM3
1496,SLC17A7
1497,SLC17A6
1498,GABBR1
1499,LPAR3
1500,CNTNAP2
1501,SLC7A8
1502,GLS2
1503,KCNG1
1504,KCNG2
1505,KCND3
1506,TENM1
1507,LRFN2
1508,VANGL2
1509,KCNS2
1510,HHLA2
1511,GABRQ
1512,SSR3
1513,CNTN6
1514,ATP8A1
1515,KCNIP3
1516,SLC6A5
1517,NPFFR2
1518,SCN10A
1519,ADGRG1
1520,KCNE3
1521,GJA3
1522,GRID2
1523,PRNP
1524,IGHM
1525,KIR2DS2
1526,HLADRA
1527,HLA-DRB5
1528,HLA-DRB1
1529,HLA-DQA1
1530,HLA-DQB1
1531,HLA-DQA2
1532,HLA-DQB2
1533,HLA-DOB
1534,HLA-DMB
1535,HLA-DMA
1536,HLA-DOA
1537,HLA-DPA1
1538,HLA-DPB1
1539,HNF4A
1540,HNF4G
1541,NR0B1
1542,NR0B2
1543,NR1D1
1544,NR1D2
1545,NR1I3
1546,NR2C1
1547,NR2C2
1548,NR2E1
1549,NR2E3
1550,NR2F1
1551,NR2F2
1552,NR2F6
1553,NR4A1
1554,NR4A2
1555,NR4A3
1556,NR5A1
1557,NR5A2
1558,NR6A1
1559,TLR7
1560,MME
1561,CD101
1562,ENG
1563,LAMP1
1564,LAMP2
1565,CD109
1566,PVRL1
1567,PVRL2
1568,PVRL3
1569,ANPEP
1570,PROM1
1571,CD14
1572,F3
1573,ACE
1574,PTPRJ
1575,SLAMF1
1576,ADAM8
1577,ADAM17
1578,ADAM10
1579,KIR2DS1
1580,CD163
1581,CD164
1582,FCGR3B
1583,SIGLEC5
1584,CD19
1585,MS4A1
1586,ENPP3
1587,LY75
1588,LAMP3
1589,MFI2
1590,LY9
1591,BCAM
1592,ABCB1
1593,MRC2
1594,TLR1
1595,TLR2
1596,TLR3
1597,TLR4
1598,TLR9
1599,GPR44
1600,ATP1B3
1601,CD302
1602,FCRL5
1603,EMR2
1604,SLAMF7
1605,FCGR2A
1606,EPCAM
1607,SIGLEC6
1608,SIGLEC7
1609,CR1
1610,CD3D
1611,GP5
1612,CD5
1613,CD59
1614,CD63
1615,CD68
1616,CD7
1617,CD83
1618,CD84
1619,LILRA5
1620,LILRA1
1621,LRP1
1622,SLC44A1
1623,CD97
1624,VNN1
1625,KRT1
1626,ALPL
1627,ALPP
1628,ENO1
1629,PRF1
1630,VDAC1
1631,ACHE
1632,CDH13
1633,FAP
1634,HYAL2
1635,MSLN
1636,OPCML
1637,MDGA1
1638,NTM
1639,NTNG1
1640,RAB5C
1641,PLA2G3
1642,GPC5
1643,CAPNS1
1644,ITPRIP
1645,FKRP
1646,DYNC2H1
1647,BCHE
1648,PRG2
